Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
45,,113.0,11.994835078277376,-67.50101095549324,13.78733984108878,10.832635941126078,45.95584412271571,64,195.2079646017699,220
46,,58.25,8.611980229936854,-83.65367647471224,10.84008619550755,7.019891624242737,31.556349186104047,83,193.0343347639485,220
47,,72.5,9.607802401865856,79.46670203399216,12.83468282607196,7.493083690900707,35.09188309203678,96,195.79655172413794,219
48,,119.25,12.322086499845234,-62.48446899113142,14.194227451737211,11.572292492049554,47.12741699796952,39,189.31865828092242,219
49,,55.5,8.406235467365967,30.57750161469881,10.83582425960994,7.407014732343568,31.745689014324228,55,181.37387387387386,224
50,,85.75,10.448937312523231,69.35291249277425,10.970512149558466,10.321547730326003,39.12741699796952,89,197.46938775510205,220
51,,261.0,18.229523339239496,79.16049545024444,22.642764537677774,15.264834228818097,73.85838738653231,37,197.21072796934865,225
52,,363.75,21.520708268953776,84.8326074250335,28.36990179663587,16.64354624694456,81.51219330881976,70,200.633676975945,227
53,,124.75,12.603040633343667,10.529971243155035,16.189568282310073,11.230283142888483,53.662950903902264,9,195.85971943887776,225
54,,327.5,20.42023386008999,-82.14357663081071,22.699636086224498,18.53026860662838,73.1335136523794,62,200.82366412213742,221
55,,137.5,13.231418571003069,-21.310044795804075,14.652767901078512,12.4674681243693,49.162950903902264,49,191.4018181818182,220
56,,21.75,5.262410103554244,-77.91194876553561,7.696498642081839,3.7066786818316126,19.899494936611664,63,191.95402298850576,216
57,,17.75,4.753945931439391,31.952346297523558,6.948782702507041,3.576477238203278,17.727922061357855,84,187.2112676056338,216
58,,58.75,8.6488625410045,28.51826921788923,10.597241638222783,7.345311956114788,31.88477631085024,69,193.38297872340425,220
59,,94.75,10.983598994121039,84.59697777292305,12.690446554562673,9.95143265137992,38.867009357883866,85,195.68601583113457,222
60,,100.5,11.311965976163641,66.49475506108479,12.196645810090743,10.73260511215961,41.00609665440988,67,194.77611940298507,224
61,,28.75,6.050259243299904,27.436956639297556,7.068601482242097,5.39115845912264,21.72792206135786,62,186.4695652173913,224
62,,47.5,7.776816725043752,61.52211522802885,9.021827947512689,6.880223776247455,25.727922061357855,95,188.43684210526317,224
63,,146.75,13.669231989760256,29.27237368066092,16.155097482350392,12.046864517951452,49.59188309203678,52,191.809199318569,222
64,,74.5,9.739422266375435,-80.90223872774992,10.638111161365284,9.261450605623248,37.04163056034262,70,192.95302013422818,219
65,,109.75,11.821084554078958,40.34180067433452,13.01821638112141,11.616776393315819,47.45584412271571,42,183.07061503416855,220
66,,177.25,15.022706457370044,79.15794759036874,18.90213177086104,12.90872806022397,59.38782463805517,20,192.2524682651622,221
67,,327.75,20.42802635564556,-68.93334247926244,23.64985988754288,18.036634497467585,75.75483399593904,51,198.3432494279176,222
68,,41.75,7.2909362219603215,-83.57010700928694,8.82623805360063,6.533287547509727,26.727922061357855,43,191.05988023952096,216
69,,69.5,9.40692023773423,-89.4814480791239,10.785784503728904,8.426546749508569,34.98832970144351,46,190.07553956834533,219
70,,28.75,6.050259243299904,-64.64824483077744,8.40080655961035,4.46940272063266,21.02081528017131,82,188.29565217391306,219
71,,41.5,7.269074295019226,-89.41129741702777,9.82276792868062,5.84176655311715,29.281222920256965,47,192.14457831325302,221
72,,75.75,9.82078894558317,9.997159889113503,13.342163807274348,8.019770553296118,40.50609665440987,18,186.17821782178217,219
73,,119.25,12.322086499845234,63.16192980944638,14.612272117558517,10.606560596605116,46.49137802864845,52,193.41719077568135,219
74,,190.0,15.553633450087505,-81.34129549453036,18.602505093301033,14.1311147464275,61.923358543987916,53,189.98026315789474,217
75,,61.25,8.83096382707056,10.948510252270935,10.025491090437429,8.18289368969911,33.15990257669732,54,189.934693877551,217
76,,191.75,15.625097846188595,80.46309048379983,19.43040436193161,13.330945696958942,65.0802127934803,2,191.77705345501957,223
77,,221.75,16.80300178673508,54.710062725620936,18.68576977358386,15.368715784667753,62.234018715767725,35,196.22660653889514,221
78,,46.0,7.653039857325812,87.21802108830146,8.568417399281204,6.894629030779917,25.227922061357855,105,199.52717391304347,220
79,,230.5,17.131308037083887,1.3791847559768964,25.04852337979924,13.155273506641475,82.80813485483816,55,189.324295010846,218
80,,30.0,6.180387232371033,41.109517335974296,6.388162251623525,6.2375204067570005,21.710155108391486,79,191.14166666666668,215
81,,33.75,6.555290583552474,-8.87600314953623,7.619565251599612,6.061853367950325,24.692388155425117,58,180.84444444444443,214
82,,28.0,5.970821321441846,-4.449517095242637,7.00224293776168,5.417531957823238,21.053300858899107,32,177.92857142857142,212
83,,78.75,10.013371767186818,60.565553428606364,11.952039217520142,9.091869270790314,38.86700935788387,23,189.41904761904763,223
84,,114.25,12.060995729457511,12.614041158132707,14.2325178811386,10.481735995239044,45.420310216782966,54,193.29978118161927,223
85,,40.25,7.158763278359629,45.97129163208725,8.840271721534151,5.969921181687529,24.9350288425444,59,189.85093167701862,223
86,,57.25,8.537737635702333,-82.60950103308332,12.774459722101927,5.8244827462923725,34.05634918610404,83,194.43668122270742,219
87,,37.25,6.886811529393324,72.21264997050785,7.939068598104203,6.151904190319961,22.763455967290593,87,192.66442953020135,221
88,,57.75,8.574939283076915,41.37335513618644,10.698708197452538,7.3201481243945565,32.60965004500315,78,194.56709956709958,219
89,,165.75,14.527197064122632,49.16888425791653,14.992170015539257,14.461197612583344,54.473611075682086,47,191.14932126696831,218
90,,49.0,7.898654169668588,-18.008581064092944,9.896007732802193,6.739531142090647,29.970562748477143,70,186.10204081632654,215
91,,83.5,10.31094088749354,-73.58777256940267,12.299523877106509,8.940993730669943,37.920310216782966,2,184.97904191616766,217
92,,72.5,9.607802401865856,-86.97972257615973,14.74402311517722,6.699245789700526,39.00609665440988,64,186.18965517241378,221
93,,143.0,13.493452297211721,-74.55548825133076,14.58977222446274,13.189352776288047,49.33452377915607,60,193.16783216783216,224
94,,85.0,10.403141895720198,-61.40757692542863,13.655930039822303,8.439547106943367,40.28122292025696,40,194.93823529411765,227
95,,29.5,6.128667601500942,-63.775657706105434,7.36413388150344,5.268235631156047,21.60660171779821,59,186.05084745762713,219
96,,97.75,11.156126814350138,-15.549464619469413,14.365303634361194,8.929409197286871,40.16295090390226,53,199.153452685422,224
97,,81.0,10.155412503859614,1.209648254127559,12.721148414436927,8.412651823998065,38.50609665440987,67,189.6172839506173,216
98,,145.0,13.58748446131949,-28.02673663553925,15.93152135847377,11.92997720444878,50.88782463805517,59,194.43103448275863,224
99,,31.25,6.3078313050504,65.85859398603985,8.31746497416557,4.950565261011002,22.038582233137674,65,185.496,215
100,,93.0,10.881694613449236,70.41660349686873,13.596481758850777,8.988644568874792,39.420310216782966,60,195.58602150537635,220
101,,241.25,17.52623862006215,24.562517115008507,19.95916485930679,15.862695623310264,66.89087296526012,55,197.23419689119171,221
102,,113.75,12.034575115625177,15.461467159465258,15.072294800035586,10.065853458726702,47.76345596729059,30,195.75604395604395,224
103,,148.5,13.750493532712623,6.54084885509896,17.551806604896232,11.31415123635483,54.7842712474619,47,192.8956228956229,224
104,,88.25,10.600159896099592,86.84861499606183,12.757140037186094,9.226720397854619,38.60965004500315,55,190.27195467422095,218
105,,56.5,8.481629223064205,-42.66930378504343,9.46670570394125,8.17612510208475,30.435028842544405,56,183.7920353982301,216
106,,107.0,11.67204486311899,79.03368275236292,14.862025397490925,9.2914808791986,42.213203435596434,68,194.48831775700936,222
107,,105.5,11.589942707777277,-26.024869588521298,14.002023856249505,10.145876660280805,44.04163056034261,55,194.6872037914692,220
108,,62.25,8.902761462589227,-58.00606845136588,9.586128919683134,8.4962535620224,31.213203435596427,73,192.46586345381527,223
109,,181.0,15.180789096653193,-47.408699695693954,16.84425323757134,14.005788934608919,56.52691193458118,38,196.41988950276243,222
110,,59.0,8.667244841319219,-42.319121814914546,10.230586374571889,7.742906263486145,33.15990257669732,24,182.79661016949152,214
111,,91.0,10.764051215546116,-82.56365386501957,11.470821104823475,10.490274156481977,39.4350288425444,56,190.1456043956044,217
